num	section	category	name	bank__MSB	bank__LSB	Patch
67	STUDIO	SYNTH PIANO	Pop Piano 3 	84	0	67
68	STUDIO	SYNTH PIANO	LoFi Piano 	84	0	68
69	VINTAGE	TINE E.PIANO	Tine E.Piano (*2) 	84	0	69
70	VINTAGE	TINE E.PIANO	Silver Top EP (*2) 	84	0	70
71	VINTAGE	TINE E.PIANO	Tine EP MkI (*2) 	84	0	71
72	VINTAGE	TINE E.PIANO	Tine EP MkII (*2) 	84	0	72
73	VINTAGE	TINE E.PIANO	Dyno E.Piano (*2) 	84	0	73
74	VINTAGE	TINE E.PIANO	Small Case Tine (*2) 	84	0	74
75	VINTAGE	TINE E.PIANO	Soft Tine EP (*2) 	84	0	75
76	VINTAGE	TINE E.PIANO	Chorus Tine EP (*2) 	84	0	76
77	VINTAGE	TINE E.PIANO	Chorus Tine EP2 (*2) 	84	0	77
78	VINTAGE	TINE E.PIANO	Chorus Dyno EP (*2) 	84	0	78
79	VINTAGE	TINE E.PIANO	Tremolo Cho Tine (*2) 	84	0	79
80	VINTAGE	TINE E.PIANO	Phaser Tine EP (*2) 	84	0	80
81	VINTAGE	TINE E.PIANO	Phaser Dyno EP (*2) 	84	0	81
82	VINTAGE	TINE E.PIANO	Trem Phaser Tine (*2) 	84	0	82
83	VINTAGE	TINE E.PIANO	Trem Phaser Dyno (*2) 	84	0	83
84	VINTAGE	TINE E.PIANO	Rotary Tine (*2) EP 	84	0	84
85	VINTAGE	TINE E.PIANO	TouchWah TineEP (*2) 	84	0	85
86	VINTAGE	TINE E.PIANO	Auto Wah Tine EP (*2) 	84	0	86
87	VINTAGE	TINE E.PIANO	Echo Tine (*2) EP 	84	0	87
88	VINTAGE	TINE E.PIANO	Echo->Trem Tine (*2) 	84	0	88
89	VINTAGE	TINE E.PIANO	Echo->RotaryTine (*2) 	84	0	89
90	VINTAGE	TINE E.PIANO	Comp Tine EP  (*2)	84	0	90
91	VINTAGE	TINE E.PIANO	Comp Tine EP2 (*2) 	84	0	91
92	VINTAGE	TINE E.PIANO	Comp Silver Top (*2) 	84	0	92
93	VINTAGE	TINE E.PIANO	Driven Tine EP (*2) 	84	0	93
94	VINTAGE	TINE E.PIANO	Driven SilverTop (*2) 	84	0	94
95	VINTAGE	TINE E.PIANO	Stage EP 1 	84	0	95
96	VINTAGE	TINE E.PIANO	Stage EP 2 	84	0	96
97	VINTAGE	TINE E.PIANO	Stage EP Trm 	84	0	97
98	VINTAGE	TINE E.PIANO	Tremolo EP 1 	84	0	98
99	VINTAGE	TINE E.PIANO	E.Piano 3 	84	0	99
100	VINTAGE	TINE E.PIANO	E.Piano 4 	84	0	100
101	VINTAGE	TINE E.PIANO	E.Piano 5 	84	0	101
102	VINTAGE	TINE E.PIANO	E.Piano 6 	84	0	102
103	VINTAGE	TINE E.PIANO	E.Piano 7 	84	0	103
104	VINTAGE	TINE E.PIANO	E.Piano 8 	84	0	104
105	VINTAGE	TINE E.PIANO	Dyno EP 	84	0	105
106	VINTAGE	TINE E.PIANO	Dyno EP Trm 	84	0	106
107	VINTAGE	TINE E.PIANO	Tremolo EP 2 	84	0	107
108	VINTAGE	TINE E.PIANO	Back2the60s 	84	0	108
109	VINTAGE	TINE E.PIANO	Tine EP 	84	0	109
110	VINTAGE	TINE E.PIANO	E.Piano 1 	84	0	110
111	VINTAGE	TINE E.PIANO	St.Soft EP 	84	0	111
112	VINTAGE	REED E.PIANO	Reed E.Piano (*2) 	84	0	112
113	VINTAGE	REED E.PIANO	Round Reed EP (*2) 	84	0	113
114	VINTAGE	REED E.PIANO	Driven Reed EP (*2) 	84	0	114
115	VINTAGE	REED E.PIANO	Driven Reed EP2 (*2) 	84	0	115
116	VINTAGE	REED E.PIANO	Comp Reed EP (*2) 	84	0	116
117	VINTAGE	REED E.PIANO	Comp Reed EP2 (*2) 	84	0	117
118	VINTAGE	REED E.PIANO	Rotary Reed EP (*2) 	84	0	118
119	VINTAGE	REED E.PIANO	Tremolo Reed EP (*2) 	84	0	119
120	VINTAGE	REED E.PIANO	Chorus Reed EP (*2) 	84	0	120
121	VINTAGE	REED E.PIANO	Phaser Reed EP (*2) 	84	0	121
122	VINTAGE	REED E.PIANO	Echo Reed EP (*2) 	84	0	122
123	VINTAGE	REED E.PIANO	Echo->Trem Reed (*2) 	84	0	123
124	VINTAGE	REED E.PIANO	TouchWah ReedEP (*2) 	84	0	124
125	VINTAGE	REED E.PIANO	AutoWah Reed EP (*2) 	84	0	125
126	VINTAGE	REED E.PIANO	Pnet Tee 	84	0	126
127	VINTAGE	REED E.PIANO	R&B Pnet 	84	0	127
128	VINTAGE	REED E.PIANO	Wurly EP 	84	0	128
129	VINTAGE	REED E.PIANO	Wurly EP Trm 	84	1	1
130	VINTAGE	REED E.PIANO	Curly Wurly 	84	1	2
131	VINTAGE	REED E.PIANO	Super Wurly 	84	1	3
132	VINTAGE	REED E.PIANO	Wurly 	84	1	4
133	VINTAGE	E.GRAND	E.Grand 1 	84	1	5
134	VINTAGE	E.GRAND	E.Grand 2 	84	1	6
135	VINTAGE	E.GRAND	E.Grand 3 	84	1	7
136	VINTAGE	E.GRAND	Piano 3 	84	1	8
137	VINTAGE	E.GRAND	Piano 3 w 	84	1	9
138	MODERN	SA E.PIANO	SA E.Piano (*3) 	84	1	10
139	MODERN	SA E.PIANO	SA E.Piano2 (*3) 	84	1	11
140	MODERN	SA E.PIANO	SA E.Piano3 (*3) 	84	1	12
141	MODERN	SA E.PIANO	SA E.Piano4 (*3) 	84	1	13
142	MODERN	SA E.PIANO	SA E.Piano5  (*3)	84	1	14
143	MODERN	SA E.PIANO	SA EP 1 	84	1	15
144	MODERN	SA E.PIANO	SA EP 2 	84	1	16
145	MODERN	SA E.PIANO	Psy EP 	84	1	17
146	MODERN	FM E.PIANO	FM E.Piano 	84	1	18
147	MODERN	FM E.PIANO	Woody FM E.Piano (*3) 	84	1	19
148	MODERN	FM E.PIANO	Bright FM EP (*3) 	84	1	20
149	MODERN	FM E.PIANO	Detuned FM EP (*3) 	84	1	21
150	MODERN	FM E.PIANO	Tremolo FM EP 	84	1	22
151	MODERN	FM E.PIANO	EP Legend 3 	84	1	23
152	MODERN	FM E.PIANO	80’s EP 	84	1	24
153	MODERN	FM E.PIANO	FM EP 1 	84	1	25
154	MODERN	FM E.PIANO	FM EP 2 	84	1	26
155	MODERN	MODERN E.PIANO	Hit EP 	84	1	27
156	MODERN	MODERN E.PIANO	EP Legend 1 	84	1	28
157	MODERN	MODERN E.PIANO	EP Belle 	84	1	29
158	MODERN	MODERN E.PIANO	Sinus EP 	84	1	30
159	MODERN	MODERN E.PIANO	Spirit Tines 	84	1	31
160	MODERN	MODERN E.PIANO	E.Piano 2 	84	1	32
161	MODERN	MODERN E.PIANO	Detuned EP 	84	1	33
162	MODERN	MODERN E.PIANO	St.FM EP 	84	1	34
163	MODERN	MODERN E.PIANO	EP Legend 2 	84	1	35
164	MODERN	MODERN E.PIANO	EP Phase 	84	1	36
165	MODERN	MODERN E.PIANO	Rox Piano 1 	84	1	37
166	MODERN	MODERN E.PIANO	Rox Piano 2 	84	1	38
167	MODERN	MODERN E.PIANO	Crummy Piano 	84	1	39
168	MODERN	MODERN E.PIANO	Rox Lute 	84	1	40
169	CLAV	CLAV	Clav CB (*4) 	84	1	41
170	CLAV	CLAV	Clav CA (*4) 	84	1	42
171	CLAV	CLAV	Phaser Clav (*4) 	84	1	43
172	CLAV	CLAV	Phaser Clav2 (*4) 	84	1	44
173	CLAV	CLAV	Touch Wah Clav (*4) 	84	1	45
174	CLAV	CLAV	Auto Wah Clav (*4) 	84	1	46
175	CLAV	CLAV	Auto Wah Clav2 (*4) 	84	1	47
176	CLAV	CLAV	Comp Clav (*4) 	84	1	48
177	CLAV	CLAV	Comp Clav2 (*4) 	84	1	49
178	CLAV	CLAV	Chorus Clav (*4) 	84	1	50
179	CLAV	CLAV	Chorus Clav2 (*4) 	84	1	51
180	CLAV	CLAV	Chorus Clav3 (*4) 	84	1	52
181	CLAV	CLAV	Driven Clav (*4) 	84	1	53
182	CLAV	CLAV	Driven Clav2 (*4) 	84	1	54
183	CLAV	CLAV	Clav CB Medium (*4) 	84	1	55
184	CLAV	CLAV	Clav CA Medium (*4) 	84	1	56
185	CLAV	CLAV	Clav CB Brillia (*4) 	84	1	57
186	CLAV	CLAV	Clav CA Brillia (*4) 	84	1	58
187	CLAV	CLAV	Clav CB Combo (*4) 	84	1	59
188	CLAV	CLAV	Clav CA Combo 	84	1	60
189	CLAV	CLAV	Clav 	84	1	61
190	CLAV	CLAV	Clav 2 	84	1	62
191	CLAV	CLAV	Pulse Clav 	84	1	63
192	CLAV	CLAV	Pulse Clav 2 	84	1	64
193	CLAV	CLAV	Sweepin Clav 	84	1	65
194	CLAV	CLAV	Analog Clav 	84	1	66
195	CLAV	CLAV	Biting Clav 	84	1	67
196	CLAV	CLAV	Pulse Clv St 	84	1	68
197	CLAV	HARPSICHORD	Natural Hps. 	84	1	69
198	CLAV	HARPSICHORD	Harpsichord 	84	1	70
199	CLAV	HARPSICHORD	Harpsichord2 	84	1	71
200	CLAV	HARPSICHORD	Coupled Hps 	84	1	72
201	CLAV	HARPSICHORD	Harpsi w 	84	1	73
202	CLAV	HARPSICHORD	Harpsi o 	84	1	74
203	CLAV	HARPSICHORD	Rox Harpsi 	84	1	75
204	CLAV	HARPSICHORD	VX Harpsi 	84	1	76
205	CLAV	CELESTA	Celesta 	84	1	77
206	CLAV	CELESTA	Farf Celeste 	84	1	78
207	CLAV	BELL	Music Box 	84	1	79
208	CLAV	BELL	Music Box 2 	84	1	80
209	CLAV	BELL	Kalimbells 	84	1	81
210	CLAV	BELL	D50 Fantasy 	84	1	82
211	CLAV	BELL	D50 Bell 	84	1	83
212	CLAV	BELL	Fantasia 	84	1	84
213	CLAV	BELL	Org Bell 	84	1	85
214	CLAV	BELL	Dreambell 	84	1	86
215	CLAV	BELL	FM Sparkles 	84	1	87
216	CLAV	BELL	FM Syn Bell 	84	1	88
217	CLAV	BELL	FM Heaven 	84	1	89
218	CLAV	BELL	Dreaming Bel 	84	1	90
219	CLAV	BELL	Analog Bell 	84	1	91
220	CLAV	BELL	Music Bells 	84	1	92
221	CLAV	BELL	Bell 1 	84	1	93
222	CLAV	BELL	Bell 2 	84	1	94
223	CLAV	BELL	Crystal 	84	1	95
224	CLAV	BELL	Tinkle Bell 	84	1	96
225	CLAV	BELL	Icy Keys 	84	1	97
226	CLAV	BELL	TubularBells 	84	1	98
227	CLAV	BELL	TubularBell2 	84	1	99
228	CLAV	BELL	Church Bell 	84	1	100
229	CLAV	BELL	Carillon 	84	1	101
230	CLAV	BELL	Carillon 2 	84	1	102
231	CLAV	BELL	Tower Bell 	84	1	103
232	CLAV	BELL	Bell Ring 	84	1	104
233	CLAV	MALLET	Vibraphone 	84	1	105
234	CLAV	MALLET	Vibraphone 2 	84	1	106
235	CLAV	MALLET	VibraphoneTr 	84	1	107
236	CLAV	MALLET	Vibraphone w 	84	1	108
237	CLAV	MALLET	Tremolo Vib 	84	1	109
238	CLAV	MALLET	Jazz Vib 	84	1	110
239	CLAV	MALLET	Marimba 	84	1	111
240	CLAV	MALLET	Marimba 2 	84	1	112
241	CLAV	MALLET	Marimba 3 	84	1	113
242	CLAV	MALLET	Marimba w 	84	1	114
243	CLAV	MALLET	BsMarimba 1 	84	1	115
244	CLAV	MALLET	BsMarimba 2 	84	1	116
245	CLAV	MALLET	Xylophone 	84	1	117
246	CLAV	MALLET	Xylophone 2 	84	1	118
247	CLAV	MALLET	Xylophone 3 	84	1	119
248	CLAV	MALLET	Ethno Keys 	84	1	120
249	CLAV	MALLET	Glockenspiel 	84	1	121
250	CLAV	MALLET	Steel Drums 	84	1	122
251	CLAV	MALLET	Steel Drums2 	84	1	123
252	CLAV	MALLET	Soft StlDrm 	84	1	124
253	CLAV	MALLET	Toy Box 	84	1	125
254	CLAV	MALLET	Sine Mallet 	84	1	126
255	ORGAN	E.ORGAN	TW-Organ 1 	84	1	127
256	ORGAN	E.ORGAN	TW-Organ 2 	84	1	128
257	ORGAN	E.ORGAN	TW-Organ 3 	84	2	1
258	ORGAN	E.ORGAN	TW-Organ 4 	84	2	2
259	ORGAN	E.ORGAN	TW-Organ 5 	84	2	3
260	ORGAN	E.ORGAN	TW-Organ 6 	84	2	4
261	ORGAN	E.ORGAN	TW-Organ 7 	84	2	5
262	ORGAN	E.ORGAN	TW-Organ 8 	84	2	6
263	ORGAN	E.ORGAN	TW-Organ 9 	84	2	7
264	ORGAN	E.ORGAN	TW-Organ 10 	84	2	8
265	ORGAN	E.ORGAN	Rock Organ 1 	84	2	9
266	ORGAN	E.ORGAN	Rock Organ 2 	84	2	10
267	ORGAN	E.ORGAN	Rock Organ 3 	84	2	11
268	ORGAN	E.ORGAN	Rock Organ 4 	84	2	12
269	ORGAN	E.ORGAN	Rock Organ 5 	84	2	13
270	ORGAN	E.ORGAN	RotaryOrgan1 	84	2	14
271	ORGAN	E.ORGAN	RotaryOrgan2 	84	2	15
272	ORGAN	E.ORGAN	Perc. Organ 	84	2	16
273	ORGAN	E.ORGAN	Perc.Organ 2 	84	2	17
274	ORGAN	E.ORGAN	Perc.Organ 3 	84	2	18
275	ORGAN	E.ORGAN	Perc.Organ 4 	84	2	19
276	ORGAN	E.ORGAN	Organ 1 	84	2	20
277	ORGAN	E.ORGAN	Trem. Organ 	84	2	21
278	ORGAN	E.ORGAN	Organ 2 	84	2	22
279	ORGAN	E.ORGAN	Chorus Organ 	84	2	23
280	ORGAN	E.ORGAN	Organ 3 	84	2	24
281	ORGAN	E.ORGAN	Animal Mod 	84	2	25
282	ORGAN	E.ORGAN	Rising Sun 	84	2	26
283	ORGAN	E.ORGAN	Surf Monkeys 	84	2	27
284	ORGAN	E.ORGAN	Palisades 	84	2	28
285	ORGAN	E.ORGAN	Kitchen Soul 	84	2	29
286	ORGAN	E.ORGAN	BreakOnThru 	84	2	30
287	ORGAN	E.ORGAN	Calif.Sun 	84	2	31
288	ORGAN	E.ORGAN	Steppin’ VX 	84	2	32
289	ORGAN	E.ORGAN	Costello+Mod 	84	2	33
290	ORGAN	E.ORGAN	Archie’s Mod 	84	2	34
291	ORGAN	E.ORGAN	Telstar VX 	84	2	35
292	ORGAN	E.ORGAN	The Sham 	84	2	36
293	ORGAN	E.ORGAN	Crummy Organ 	84	2	37
294	ORGAN	E.ORGAN	VX Religion 	84	2	38
295	ORGAN	E.ORGAN	Farfi Combo 	84	2	39
296	ORGAN	E.ORGAN	Iron Farf 	84	2	40
297	ORGAN	E.ORGAN	Dancin’ Queen 	84	2	41
298	ORGAN	E.ORGAN	Farf Lite 	84	2	42
299	ORGAN	E.ORGAN	Wooly Farfy 	84	2	43
300	ORGAN	E.ORGAN	Clark Farf 	84	2	44
301	ORGAN	E.ORGAN	Pacemaker 	84	2	45
302	ORGAN	E.ORGAN	Rox Organ P 	84	2	46
303	ORGAN	E.ORGAN	Rox Organ Ph 	84	2	47
304	ORGAN	E.ORGAN	Rox Organ PH 	84	2	48
305	ORGAN	E.ORGAN	Rox Organ L 	84	2	49
306	ORGAN	E.ORGAN	60’s Organ 	84	2	50
307	ORGAN	E.ORGAN	70’s E.Org 1 	84	2	51
308	ORGAN	E.ORGAN	70’s E.Org 2 	84	2	52
309	ORGAN	E.ORGAN	70’s E.Organ 	84	2	53
310	ORGAN	E.ORGAN	E.Organ 1 	84	2	54
311	ORGAN	E.ORGAN	E.Organ 2 	84	2	55
312	ORGAN	E.ORGAN	E.Organ 3 	84	2	56
313	ORGAN	E.ORGAN	E.Organ 4 	84	2	57
314	ORGAN	E.ORGAN	E.Organ 5 	84	2	58
315	ORGAN	E.ORGAN	E.Organ 6 	84	2	59
316	ORGAN	E.ORGAN	E.Organ 7 	84	2	60
317	ORGAN	E.ORGAN	Theater Org 	84	2	61
318	ORGAN	E.ORGAN	Ana Organ 1 	84	2	62
319	ORGAN	E.ORGAN	Ana Organ 2 	84	2	63
320	ORGAN	E.ORGAN	Ana Organ 3 	84	2	64
321	ORGAN	E.ORGAN	Ana Organ 4 	84	2	65
322	ORGAN	E.ORGAN	Ana Organ 5 	84	2	66
323	ORGAN	PIPE ORGAN	Puff Organ 	84	2	67
324	ORGAN	PIPE ORGAN	Nason Flute 	84	2	68
325	ORGAN	PIPE ORGAN	Massive Pipe 	84	2	69
326	ORGAN	PIPE ORGAN	Mid Pipe Org 	84	2	70
327	ORGAN	PIPE ORGAN	Grand Pipes 	84	2	71
328	ORGAN	PIPE ORGAN	Church Org 1 	84	2	72
329	ORGAN	PIPE ORGAN	Church Org 2 	84	2	73
330	ORGAN	PIPE ORGAN	Church Org 3 	84	2	74
331	ORGAN	PIPE ORGAN	Reed Organ 	84	2	75
332	ORGAN	ACCORDION	Accordion Fr 	84	2	76
333	ORGAN	ACCORDION	Accordion It 	84	2	77
334	ORGAN	ACCORDION	AccordionIt2 	84	2	78
335	ORGAN	ACCORDION	Musette 	84	2	79
336	ORGAN	ACCORDION	Vodkakordion 	84	2	80
337	ORGAN	ACCORDION	Bandoneon 	84	2	81
338	ORGAN	HARMONICA	Harmonica 	84	2	82
339	ORGAN	HARMONICA	Harmonica 2 	84	2	83
340	STRINGS	ENSEMBLE STRINGS	Slow FullStrings 	84	2	84
341	STRINGS	ENSEMBLE STRINGS	Full Strings 	84	2	85
342	STRINGS	ENSEMBLE STRINGS	GX Strings 	84	2	86
343	STRINGS	ENSEMBLE STRINGS	Mood Strings 	84	2	87
344	STRINGS	ENSEMBLE STRINGS	Slow Strings 	84	2	88
345	STRINGS	ENSEMBLE STRINGS	DecayStrings 	84	2	89
346	STRINGS	ENSEMBLE STRINGS	Strings 	84	2	90
347	STRINGS	ENSEMBLE STRINGS	Strings 2 	84	2	91
348	STRINGS	ENSEMBLE STRINGS	Strings 3 	84	2	92
349	STRINGS	ENSEMBLE STRINGS	Strings 4 	84	2	93
350	STRINGS	ENSEMBLE STRINGS	Strings 5 	84	2	94
351	STRINGS	ENSEMBLE STRINGS	Strings 6 	84	2	95
352	STRINGS	ENSEMBLE STRINGS	Stage Str 1 	84	2	96
353	STRINGS	ENSEMBLE STRINGS	Stage Str 2 	84	2	97
354	STRINGS	ENSEMBLE STRINGS	Pop Str 	84	2	98
355	STRINGS	ENSEMBLE STRINGS	Hall Strings 	84	2	99
356	STRINGS	ENSEMBLE STRINGS	Marc.Str 	84	2	100
357	STRINGS	ENSEMBLE STRINGS	StringsStacc 	84	2	101
358	STRINGS	ENSEMBLE STRINGS	Oct Strings 	84	2	102
359	STRINGS	ENSEMBLE STRINGS	Tremolo Str 	84	2	103
360	STRINGS	ENSEMBLE STRINGS	Tron Strings 	84	2	104
361	STRINGS	ENSEMBLE STRINGS	Tron Strings2 	84	2	105
362	STRINGS	ENSEMBLE STRINGS	Symphonic Tron 	84	2	106
363	STRINGS	ENSEMBLE STRINGS	Moody Tron 	84	2	107
364	STRINGS	ENSEMBLE STRINGS	TapeStrings1 	84	2	108
365	STRINGS	ENSEMBLE STRINGS	TapeStrings2 	84	2	109
366	STRINGS	ENSEMBLE STRINGS	Hybrid Str 	84	2	110
367	STRINGS	ENSEMBLE STRINGS	PizzicatoStr 	84	2	111
368	STRINGS	ENSEMBLE STRINGS	Pizz 1 	84	2	112
369	STRINGS	ENSEMBLE STRINGS	Pizz 2 	84	2	113
370	STRINGS	SOLO STRINGS	Violin 	84	2	114
371	STRINGS	SOLO STRINGS	Violin 2 	84	2	115
372	STRINGS	SOLO STRINGS	Slow Violin 	84	2	116
373	STRINGS	SOLO STRINGS	Bright Vln 	84	2	117
374	STRINGS	SOLO STRINGS	Viola 	84	2	118
375	STRINGS	SOLO STRINGS	Cello 	84	2	119
376	STRINGS	SOLO STRINGS	Bright Vc 	84	2	120
377	STRINGS	SOLO STRINGS	Contrabass 	84	2	121
378	STRINGS	SOLO STRINGS	Fiddle 	84	2	122
379	STRINGS	SOLO STRINGS	Tron Violins 	84	2	123
380	STRINGS	SOLO STRINGS	Tron Cello 	84	2	124
381	STRINGS	ORCHESTRAL	Orchestra 	84	2	125
382	STRINGS	ORCHESTRAL	Orc.Unison 1 	84	2	126
383	STRINGS	ORCHESTRAL	Orc.Unison 2 	84	2	127
384	STRINGS	ORCHESTRAL	Full Orc 	84	2	128
385	PAD/CHOIR	SYNTH PAD/STR	Wide Soft Pad 	84	3	1
386	PAD/CHOIR	SYNTH PAD/STR	Silky Way 	84	3	2
387	PAD/CHOIR	SYNTH PAD/STR	CalmChoirPad 	84	3	3
388	PAD/CHOIR	SYNTH PAD/STR	Decay Choir Pad 	84	3	4
389	PAD/CHOIR	SYNTH PAD/STR	Soft Pad 1 	84	3	5
390	PAD/CHOIR	SYNTH PAD/STR	Soft Pad 2 	84	3	6
391	PAD/CHOIR	SYNTH PAD/STR	Soft Pad 3 	84	3	7
392	PAD/CHOIR	SYNTH PAD/STR	Soft Pad 4 	84	3	8
393	PAD/CHOIR	SYNTH PAD/STR	Soft Pad 5 	84	3	9
394	PAD/CHOIR	SYNTH PAD/STR	Soft Pad 6 	84	3	10
395	PAD/CHOIR	SYNTH PAD/STR	Soft Pad 7 	84	3	11
396	PAD/CHOIR	SYNTH PAD/STR	Soft Pad 8 	84	3	12
397	PAD/CHOIR	SYNTH PAD/STR	Soft Pad 9 	84	3	13
398	PAD/CHOIR	SYNTH PAD/STR	Soft Pad 10 	84	3	14
399	PAD/CHOIR	SYNTH PAD/STR	Dreamheaven 	84	3	15
400	PAD/CHOIR	SYNTH PAD/STR	Oct Heaven 	84	3	16
401	PAD/CHOIR	SYNTH PAD/STR	VintageStr 1 	84	3	17
402	PAD/CHOIR	SYNTH PAD/STR	VintageStr 2 	84	3	18
403	PAD/CHOIR	SYNTH PAD/STR	VintageStr 3 	84	3	19
404	PAD/CHOIR	SYNTH PAD/STR	VintageStr 4 	84	3	20
405	PAD/CHOIR	SYNTH PAD/STR	VintageStr 5 	84	3	21
406	PAD/CHOIR	SYNTH PAD/STR	VintageStr 6 	84	3	22
407	PAD/CHOIR	SYNTH PAD/STR	VintageStr 7 	84	3	23
408	PAD/CHOIR	SYNTH PAD/STR	JX Strings 	84	3	24
409	PAD/CHOIR	SYNTH PAD/STR	JP Strings 1 	84	3	25
410	PAD/CHOIR	SYNTH PAD/STR	JP Strings 2 	84	3	26
411	PAD/CHOIR	SYNTH PAD/STR	106 Strings 	84	3	27
412	PAD/CHOIR	SYNTH PAD/STR	Sol Strings 	84	3	28
413	PAD/CHOIR	SYNTH PAD/STR	Rhapsody STR 	84	3	29
414	PAD/CHOIR	SYNTH PAD/STR	PWM Str 1 	84	3	30
415	PAD/CHOIR	SYNTH PAD/STR	PWM Str 2 	84	3	31
416	PAD/CHOIR	SYNTH PAD/STR	PWM Str 3 	84	3	32
417	PAD/CHOIR	SYNTH PAD/STR	Fading Str 	84	3	33
418	PAD/CHOIR	SYNTH PAD/STR	ParadisePad 	84	3	34
